"Ano/mês processamento";"AIH aprovadas";"Internações";"Valor total";"Valor serviços hospitalares";"Val serv hosp - compl federal";"Val serv hosp - compl gestor";"Valor serviços profissionais";"Val serv prof - compl federal";"Val serv prof - compl gestor";"Valor médio AIH";"Valor médio intern";"Dias permanência";"Média permanência";"Óbitos";"Taxa mortalidade"
"2008";11107155;10743603;8286055941,30;6663722281,13;-;-;1622333660,17;-;-;746,01;771,25;62189588;5,8;352348;3,28
"..Janeiro/2008";651615;651615;408424859,23;328082454,90;-;-;80342404,33;-;-;626,79;626,79;3516949;5,4;17602;2,70
"..Fevereiro/2008";854129;824348;613174269,21;494348509,57;-;-;118825759,64;-;-;717,89;743,83;4743864;5,8;26148;3,17
"..Março/2008";922352;889296;664043058,38;534232631,77;-;-;129810426,61;-;-;719,95;746,71;5175568;5,8;28302;3,18
"..Abril/2008";949449;916303;686662861,42;552281185,20;-;-;134381676,22;-;-;723,22;749,38;5252761;5,7;29164;3,18
"..Maio/2008";978237;944567;715803639,49;575262027,17;-;-;140541612,32;-;-;731,73;757,81;5457019;5,8;30173;3,19
"..Junho/2008";997923;963816;752181563,64;605104921,89;-;-;147076641,75;-;-;753,75;780,42;5654337;5,9;32488;3,37
"..Julho/2008";1007078;973736;764990284,76;615845352,49;-;-;149144932,27;-;-;759,61;785,62;5697132;5,9;34317;3,52
"..Agosto/2008";993013;959556;750608648,28;603924497,08;-;-;146684151,20;-;-;755,89;782,25;5630667;5,9;33293;3,47
"..Setembro/2008";989240;955490;752962642,15;605448494,68;-;-;147514147,47;-;-;761,15;788,04;5575208;5,8;32523;3,40
"..Outubro/2008";981118;948185;733019065,83;588448041,83;-;-;144571024,00;-;-;747,13;773,08;5438959;5,7;32285;3,40
"..Novembro/2008";889306;856024;668217112,19;536922438,73;-;-;131294673,46;-;-;751,39;780,61;4931887;5,8;27106;3,17
"..Dezembro/2008";893695;860667;775967936,72;623821725,82;-;-;152146210,90;-;-;868,27;901,59;5115237;5,9;28947;3,36
"2009";11511559;11128809;10124918629,27;8156631007,24;-;-;1968287622,03;-;-;879,54;909,79;64092961;5,8;387213;3,48
"..Janeiro/2009";858270;829164;750048621,47;604626340,52;-;-;145422280,95;-;-;873,91;904,58;4914364;5,9;29886;3,60
"..Fevereiro/2009";877994;845575;756580984,60;608979955,39;-;-;147601029,21;-;-;861,72;894,75;4871999;5,8;29275;3,46
"..Março/2009";977757;944889;841883163,67;676153989,97;-;-;165729173,70;-;-;861,04;890,99;5377392;5,7;31595;3,34
"..Abril/2009";961244;928836;825105702,99;663574426,93;-;-;161531276,06;-;-;858,37;888,32;5303208;5,7;30085;3,24
"..Maio/2009";996732;964271;865829006,02;696743396,23;-;-;169085609,79;-;-;868,67;897,91;5538091;5,7;32556;3,38
"..Junho/2009";976705;944227;852678163,21;686814221,17;-;-;165863942,04;-;-;873,02;903,04;5444484;5,8;32862;3,48
"..Julho/2009";996882;964845;880502474,71;710282205,02;-;-;170220269,69;-;-;883,26;912,58;5572566;5,8;34830;3,61
"..Agosto/2009";993408;961473;892842134,58;722181196,37;-;-;170660938,21;-;-;898,77;928,62;5559534;5,8;35909;3,73
"..Setembro/2009";987439;955836;873464467,51;703732310,32;-;-;169732157,19;-;-;884,58;913,82;5452024;5,7;33844;3,54
"..Outubro/2009";984649;952503;875334799,09;705820367,74;-;-;169514431,35;-;-;888,98;918,98;5464009;5,7;33047;3,47
"..Novembro/2009";968423;936962;869113618,52;699745189,47;-;-;169368429,05;-;-;897,45;927,59;5368517;5,7;32706;3,49
"..Dezembro/2009";932056;900228;841535492,90;677977408,11;-;-;163558084,79;-;-;902,88;934,80;5226773;5,8;30618;3,40
"2010";11724834;11357965;10740754368,48;8632213036,75;-;-;2108541331,73;-;-;916,07;945,66;64957348;5,7;410565;3,61
"..Janeiro/2010";948889;919891;852122488,89;686522540,09;-;-;165599948,80;-;-;898,02;926,33;5269988;5,7;34049;3,70
"..Fevereiro/2010";914313;882894;808077868,10;649739840,18;-;-;158338027,92;-;-;883,81;915,26;4973070;5,6;32124;3,64
"..Março/2010";1000963;968799;890979883,27;715432322,70;-;-;175547560,57;-;-;890,12;919,67;5444735;5,6;33325;3,44
"..Abril/2010";993867;964479;902232888,98;726001374,16;-;-;176231514,82;-;-;907,80;935,46;5428802;5,6;33429;3,47
"..Maio/2010";1013092;981715;914272019,18;734923983,91;-;-;179348035,27;-;-;902,46;931,30;5548086;5,7;33202;3,38
"..Junho/2010";976296;945855;890961283,39;716626955,06;-;-;174334328,33;-;-;912,59;941,96;5403041;5,7;33827;3,58
"..Julho/2010";989932;958727;911969093,24;733682364,16;-;-;178286729,08;-;-;921,24;951,23;5533342;5,8;35537;3,71
"..Agosto/2010";996912;965996;931719029,98;750992185,47;-;-;180726844,51;-;-;934,61;964,52;5589602;5,8;35896;3,72
"..Setembro/2010";982085;952785;906417815,92;731122227,13;-;-;175295588,79;-;-;922,95;951,34;5425524;5,7;35961;3,77
"..Outubro/2010";973054;942332;896468825,34;722134679,51;-;-;174334145,83;-;-;921,29;951,33;5429003;5,8;34551;3,67
"..Novembro/2010";976213;945457;925035608,16;739408097,19;-;-;185627510,97;-;-;947,58;978,40;5485243;5,8;35180;3,72
"..Dezembro/2010";959218;929035;910497564,03;725626467,19;-;-;184871096,84;-;-;949,21;980,05;5426912;5,8;33484;3,60
"2011";11643468;11281571;11308412465,19;8992649152,15;-;-;2315763313,04;-;-;971,22;1002,38;64787044;5,7;418505;3,71
"..Janeiro/2011";947866;919607;892847303,12;712875918,29;-;-;179971384,83;-;-;941,96;970,90;5280478;5,7;35365;3,85
"..Fevereiro/2011";939420;909568;884086911,42;703608772,14;-;-;180478139,28;-;-;941,10;971,99;5116951;5,6;33281;3,66
"..Março/2011";987914;957377;932602653,02;741922190,29;-;-;190680462,73;-;-;944,01;974,12;5426523;5,7;34456;3,60
"..Abril/2011";989034;959450;940522457,53;747597515,46;-;-;192924942,07;-;-;950,95;980,27;5446073;5,7;33389;3,48
"..Maio/2011";985199;955330;948998132,79;753575912,47;-;-;195422220,32;-;-;963,26;993,37;5489114;5,7;34320;3,59
"..Junho/2011";974481;944025;938678314,96;746363630,72;-;-;192314684,24;-;-;963,26;994,34;5339177;5,7;34577;3,66
"..Julho/2011";1000566;969386;983107236,67;780929967,40;-;-;202177269,27;-;-;982,55;1014,15;5598058;5,8;38060;3,93
"..Agosto/2011";967078;936688;960806905,24;762979090,56;-;-;197827814,68;-;-;993,52;1025,75;5398271;5,8;35428;3,78
"..Setembro/2011";975723;945423;963424009,31;765176835,46;-;-;198247173,85;-;-;987,39;1019,04;5460172;5,8;36158;3,82
"..Outubro/2011";968026;937398;964910919,88;767652310,98;-;-;197258608,90;-;-;996,78;1029,35;5467193;5,8;35099;3,74
"..Novembro/2011";959819;929181;952446801,10;757546794,35;-;-;194900006,75;-;-;992,32;1025,04;5417706;5,8;34887;3,75
"..Dezembro/2011";948342;918138;945980820,15;752420214,03;-;-;193560606,12;-;-;997,51;1030,33;5347328;5,8;33485;3,65
"2012";11439889;11092589;11656121321,77;9265711245,51;3507904,33;-;2383259983,77;3642188,16;-;1018,90;1050,80;63778624;5,7;421575;3,80
"..Janeiro/2012";918846;891324;918113192,67;730186732,43;-;-;187926460,24;-;-;999,20;1030,06;5098757;5,7;34264;3,84
"..Fevereiro/2012";910827;879909;900866905,04;715562173,84;-;-;185304731,20;-;-;989,06;1023,82;5073843;5,8;33257;3,78
"..Março/2012";989292;959321;990762955,07;786422237,63;-;-;204340717,44;-;-;1001,49;1032,78;5445524;5,7;34007;3,54
"..Abril/2012";971467;942655;957617712,15;760474908,31;-;-;197142803,84;-;-;985,74;1015,87;5321054;5,6;33153;3,52
"..Maio/2012";1002590;972843;1005719346,28;799331081,54;-;-;206388264,74;-;-;1003,12;1033,79;5559374;5,7;35425;3,64
"..Junho/2012";981906;952789;992473295,33;789442756,27;-;-;203030539,06;-;-;1010,76;1041,65;5495346;5,8;36380;3,82
"..Julho/2012";983555;954068;1011576096,62;805277055,31;-;-;206299041,31;-;-;1028,49;1060,28;5545614;5,8;37472;3,93
"..Agosto/2012";985221;956391;1019945214,97;812030244,15;116135,90;-;207657143,39;141691,53;-;1035,25;1066,45;5514764;5,8;37565;3,93
"..Setembro/2012";954073;925784;981455178,00;779715390,23;414733,84;-;200848130,34;476923,59;-;1028,70;1060,13;5313077;5,7;35656;3,85
"..Outubro/2012";949368;920917;988862272,07;785719722,92;801729,40;-;201541551,43;799268,32;-;1041,60;1073,78;5304186;5,8;35803;3,89
"..Novembro/2012";922273;894230;971962883,27;772889984,93;910933,10;-;197258346,33;903618,91;-;1053,88;1086,93;5145431;5,8;34986;3,91
"..Dezembro/2012";870471;842358;916766270,30;728658957,95;1264372,09;-;185522254,45;1320685,81;-;1053,18;1088,33;4961654;5,9;33607;3,99
"2013";11520837;11197160;12698359917,70;10056524837,10;40981431,03;-;2563683672,13;37169977,44;-;1102,21;1134,07;64190523;5,7;440954;3,94
"..Janeiro/2013";910862;885731;970771875,05;773686198,91;1243176,74;-;194692916,48;1149582,92;-;1065,77;1096,01;5155281;5,8;36585;4,13
"..Fevereiro/2013";888061;858673;951988831,08;757191629,90;1232235,14;-;192387799,57;1177166,47;-;1071,99;1108,67;5024678;5,9;34110;3,97
"..Março/2013";949041;921443;1014947867,61;804391784,79;1897998,51;-;206736522,96;1921561,35;-;1069,45;1101,48;5255112;5,7;34472;3,74
"..Abril/2013";988021;960357;1068797389,90;847571694,34;2674353,54;-;216093556,69;2457785,33;-;1081,76;1112,92;5447254;5,7;36160;3,77
"..Maio/2013";994391;966616;1095601589,12;867196976,15;3452718,54;-;221649508,42;3302386,01;-;1101,78;1133,44;5526940;5,7;37645;3,89
"..Junho/2013";972139;944932;1055013842,13;833661137,72;3841634,18;-;214169617,80;3341452,43;-;1085,25;1116,50;5383206;5,7;37671;3,99
"..Julho/2013";993330;966194;1109874484,86;879191959,59;3991606,60;-;223238590,38;3452328,29;-;1117,33;1148,71;5571094;5,8;39191;4,06
"..Agosto/2013";1000723;974165;1114566231,49;881829011,68;4228847,74;-;224753411,97;3754960,10;-;1113,76;1144,12;5582444;5,7;40165;4,12
"..Setembro/2013";975036;948254;1097138530,42;865397680,83;4817884,76;-;222620926,69;4302038,14;-;1125,23;1157,01;5425377;5,7;38119;4,02
"..Outubro/2013";991981;965762;1114110815,42;881941964,69;4132298,54;-;224101464,29;3935087,90;-;1123,12;1153,61;5489212;5,7;37495;3,88
"..Novembro/2013";949270;922946;1065389149,58;842111769,92;4373996,72;-;214920565,29;3982817,65;-;1122,32;1154,34;5249825;5,7;35498;3,85
"..Dezembro/2013";907982;882087;1040159311,04;822353028,58;5094680,02;-;208318791,59;4392810,85;-;1145,57;1179,20;5080100;5,8;33843;3,84
"2014";11612715;11320287;13370407625,66;10561866765,06;69383551,30;-;2675941969,04;63215340,26;-;1151,36;1181,10;63900215;5,6;449233;3,97
"..Janeiro/2014";949320;924971;1073036456,41;850544637,20;4196027,23;-;214079688,70;4216103,28;-;1130,32;1160,08;5307337;5,7;38360;4,15
"..Fevereiro/2014";924558;899389;1045983018,53;824361719,85;5580079,42;-;210663463,50;5377755,76;-;1131,33;1162,99;5042481;5,6;36500;4,06
"..Março/2014";937991;912747;1056226871,45;832316826,16;5533813,76;-;213160491,25;5215740,28;-;1126,05;1157,20;5167817;5,7;35315;3,87
"..Abril/2014";948009;923068;1075172529,69;847110058,65;5857985,84;-;216623779,32;5580705,88;-;1134,14;1164,78;5169694;5,6;34901;3,78
"..Maio/2014";1001658;976560;1143780931,69;903054736,50;5891065,76;-;229284382,29;5550747,14;-;1141,89;1171,23;5501411;5,6;37234;3,81
"..Junho/2014";960803;935747;1105617906,86;874023949,87;5324192,90;-;221467520,09;4802244,00;-;1150,72;1181,54;5300788;5,7;37087;3,96
"..Julho/2014";1000953;976338;1166470112,11;924694213,09;4992463,87;-;232641029,83;4142405,32;-;1165,36;1194,74;5604967;5,7;39739;4,07
"..Agosto/2014";1006210;982036;1174196840,39;929945894,38;5261516,57;-;234649594,88;4339834,56;-;1166,95;1195,68;5534232;5,6;39690;4,04
"..Setembro/2014";1003205;979298;1160045625,96;917099662,30;5915822,15;-;231931480,44;5098661,07;-;1156,34;1184,57;5474211;5,6;39016;3,98
"..Outubro/2014";1000893;977116;1166760502,20;921482254,89;6422834,90;-;233319035,24;5536377,17;-;1165,72;1194,09;5469726;5,6;39009;3,99
"..Novembro/2014";966888;943535;1126670624,77;887599646,84;7402822,78;-;224806177,84;6861977,31;-;1165,25;1194,10;5271278;5,6;36871;3,91
"..Dezembro/2014";912227;889482;1076446205,60;849633165,33;7004926,12;-;213315325,66;6492788,49;-;1180,02;1210,19;5056273;5,7;35511;3,99
"2015";11638853;11377716;13787982841,84;10905085322,74;66554252,12;1767679,89;2754843614,76;56192165,68;3539806,65;1184,65;1211,84;63712818;5,6;475839;4,18
"..Janeiro/2015";932763;910439;1097304031,31;869985562,24;5006048,64;-;217457199,48;4855220,95;-;1176,40;1205,25;5203821;5,7;38552;4,23
"..Fevereiro/2015";905491;882933;1062267532,26;839709636,95;5385510,31;-;211914962,64;5257422,36;-;1173,14;1203,11;4987303;5,6;37172;4,21
"..Março/2015";990629;967987;1145818906,77;902249707,11;6918984,74;-;230042480,07;6607734,85;-;1156,66;1183,71;5334363;5,5;38058;3,93
"..Abril/2015";990177;967912;1142901983,63;901749812,49;6230951,58;-;228676806,03;6244413,53;-;1154,24;1180,79;5338938;5,5;38540;3,98
"..Maio/2015";1005791;983744;1167506052,47;922249569,90;6186268,75;-;233102991,04;5967222,78;-;1160,78;1186,80;5463371;5,6;40336;4,10
"..Junho/2015";995083;973342;1175384991,29;929291041,97;5770746,40;-;234782217,44;5540985,48;-;1181,19;1207,58;5434245;5,6;41073;4,22
"..Julho/2015";1007998;986558;1204103667,59;952619522,69;5701331,80;-;240545984,74;5236828,36;-;1194,55;1220,51;5559876;5,6;43248;4,38
"..Agosto/2015";993040;971414;1191449093,15;945736105,14;4412332,16;-;238175007,12;3125648,73;-;1199,80;1226,51;5473544;5,6;41487;4,27
"..Setembro/2015";976498;955193;1179032733,69;933725069,33;4839114,25;222865,82;236339375,89;3196242,80;710065,60;1207,41;1234,34;5361010;5,6;40506;4,24
