 Mortalidade - Brasil
Óbitos p/Ocorrênc por Ano/mês do Óbito e Capítulo CID-10
Período:2011-2018
"Ano/mês do Óbito";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"2011";49175;184384;6344;73929;13725;26948;23;150;335213;126693;59707;3395;4488;26317;1680;23579;10543;78363;145842;1170498
"..Janeiro/2011";4276;15710;510;6352;1264;2351;1;9;28355;11356;5084;262;415;2142;154;2136;837;6958;13804;101976
"..Fevereiro/2011";3984;14191;509;5711;1118;2059;-;13;24658;9731;4585;246;343;1964;137;1950;818;5807;11121;88945
"..Março/2011";4316;15618;595;6030;1096;2292;3;10;27306;10063;5081;289;376;2154;158;2180;997;6323;12121;97008
"..Abril/2011";3970;15169;567;5727;1080;2140;2;6;26194;9963;4904;271;366;2091;127;2072;895;6150;11805;93499
"..Maio/2011";4338;15897;548;6368;1148;2224;4;9;28851;10992;5221;298;388;2158;167;2049;903;6799;12281;100643
"..Junho/2011";4142;15282;556;6524;1200;2424;-;14;30597;11968;5117;267;402;2375;126;1930;909;7045;11964;102842
"..Julho/2011";4201;15669;571;6982;1286;2513;1;17;31654;12751;5286;321;370;2388;149;1927;922;7224;12399;106631
"..Agosto/2011";4136;15510;512;6509;1180;2299;4;14;29815;11078;5190;302;379;2343;144;1823;921;6766;12015;100940
"..Setembro/2011";3952;15072;488;6142;1100;2228;4;13;27603;10405;4697;303;364;2246;120;1784;817;6345;11732;95415
"..Outubro/2011";4060;15487;478;6063;1071;2141;1;14;27528;9914;4827;276;370;2174;116;1861;869;6365;12423;96038
"..Novembro/2011";3864;15166;514;5660;1094;2042;3;18;25930;9077;4758;264;362;2100;145;1842;799;6144;11540;91322
"..Dezembro/2011";3936;15613;496;5861;1088;2235;-;13;26722;9395;4957;296;353;2182;137;2025;856;6437;12637;95239
"2012";49608;191577;6358;72495;12641;28712;38;139;333295;127204;60509;3722;4607;27975;1647;23069;10622;74935;152013;1181166
"..Janeiro/2012";4056;15863;511;5737;1022;2166;4;13;26585;9167;4928;288;362;2180;145;1970;820;5948;12743;94508
"..Fevereiro/2012";3913;15076;507;5638;955;2228;4;8;25197;8823;4738;244;339;2151;144;1867;786;5466;12236;90320
"..Março/2012";4149;16087;557;5615;1028;2222;2;12;26224;9390;5013;302;386;2233;144;1997;940;5899;12394;94594
"..Abril/2012";3942;15662;523;5571;955;2175;4;10;25917;9346;4870;310;367;2164;149;1920;953;5790;12370;92998
"..Maio/2012";4201;16374;562;6268;1111;2601;5;6;29139;11136;5130;301;375;2407;165;2039;972;6303;12237;101332
"..Junho/2012";4195;15817;553;6138;1076;2518;2;16;29384;12086;5161;299;409;2258;141;1976;908;6215;11915;101067
"..Julho/2012";4399;16680;535;6946;1154;2666;1;15;31932;13486;5523;361;413;2530;150;1938;978;7069;12150;108926
"..Agosto/2012";4278;16105;515;6435;1113;2448;2;7;29361;11680;5234;346;420;2484;117;1857;875;6426;12448;102151
"..Setembro/2012";4123;15926;545;6116;1040;2403;5;15;28333;11013;4977;332;343;2269;120;1754;911;6272;13028;99525
"..Outubro/2012";4180;16341;531;6211;1079;2476;2;7;28357;11173;5071;321;392;2431;132;1898;892;6614;13324;101432
"..Novembro/2012";3841;15498;484;5750;974;2228;3;21;25708;9697;4725;312;409;2314;121;1915;775;6016;12549;93340
"..Dezembro/2012";4331;16148;535;6070;1134;2581;4;9;27158;10207;5139;306;392;2554;119;1938;812;6917;14619;100973
"2013";52058;196954;6388;74726;13052;30300;15;143;339672;137832;61934;3919;5001;29709;1787;22745;10752;71804;151683;1210474
"..Janeiro/2013";4303;16418;542;6057;1129;2281;-;14;26907;9856;5199;306;446;2433;172;1995;868;5764;12994;97684
"..Fevereiro/2013";3995;15137;493;5536;1021;2182;1;4;24761;9293;4666;287;356;2175;138;1814;820;5284;11706;89669
"..Março/2013";4322;17016;520;6163;1127;2408;1;10;27297;10486;5184;341;389;2490;170;2029;899;5794;12986;99632
"..Abril/2013";4374;16253;561;5993;1076;2442;3;9;27835;11441;5253;275;396;2402;155;1973;999;5836;11853;99129
"..Maio/2013";4655;17045;531;6545;1157;2664;1;16;29794;12979;5342;343;387;2541;194;2036;1002;6390;12499;106121
"..Junho/2013";4570;16124;551;6500;1153;2586;-;9;29587;13075;5470;334;426;2585;160;1929;923;6319;12202;104503
"..Julho/2013";4665;16871;576;7121;1187;2842;3;22;32220;14071;5692;362;468;2701;141;1832;921;6711;12132;110538
"..Agosto/2013";4516;16621;568;6805;1089;2786;1;13;31449;13372;5342;343;461;2729;128;1885;943;6351;12604;108006
"..Setembro/2013";4233;16057;517;6237;1052;2637;2;15;28952;11931;4992;353;433;2392;132;1768;837;5835;12546;100921
"..Outubro/2013";4239;16695;502;6145;1009;2523;-;4;28258;11089;4896;338;409;2423;129;1766;892;5800;12767;99884
"..Novembro/2013";4030;16126;505;5743;980;2391;1;15;25836;9900;4836;300;424;2295;135;1828;773;5597;12965;94680
"..Dezembro/2013";4156;16591;522;5881;1072;2558;2;12;26776;10339;5062;337;406;2543;133;1890;875;6123;14429;99707
"2014";52174;201968;6108;73972;12480;32381;18;157;340284;139045;62763;4300;5325;32510;1889;22482;11050;71191;156942;1227039
"..Janeiro/2014";4424;16800;528;6468;1120;2760;3;11;27906;10985;5260;402;422;2771;173;1971;843;6025;13721;102593
"..Fevereiro/2014";4271;15892;468;5804;1000;2868;1;12;25909;10304;4715;324;413;2900;147;1866;821;5495;12591;95801
"..Março/2014";4279;17061;472;5833;1033;2538;1;14;26790;10250;5184;383;406;2626;180;1985;930;5399;13938;99302
"..Abril/2014";4232;16415;459;5828;994;2398;1;15;26443;10460;5156;328;457;2459;157;1918;916;5528;13119;97283
"..Maio/2014";4421;17311;516;6363;1073;2690;1;14;29502;12461;5444;321;480;2696;193;1991;1062;5937;12967;105443
"..Junho/2014";4342;16787;590;6289;1091;2724;1;15;29954;12942;5424;353;428;2591;165;1898;992;6113;12603;105302
"..Julho/2014";4537;17110;539;6479;1087;2884;3;10;30627;12830;5516;368;476;2746;188;1778;912;6309;12214;106613
"..Agosto/2014";4603;17246;534;6687;1077;2853;2;12;31130;13239;5450;385;482;2888;122;1737;949;6448;12899;108743
"..Setembro/2014";4340;16505;519;6235;979;2780;-;15;28651;12120;5062;349;452;2691;150;1735;877;6062;12632;102154
"..Outubro/2014";4370;17291;510;6402;1007;2943;2;12;29288;12348;5274;394;462;2808;145;1872;900;6080;13304;105412
"..Novembro/2014";4046;16466;493;5642;961;2393;2;11;26414;10430;4986;333;408;2568;127;1754;912;5499;13143;96588
"..Dezembro/2014";4309;17084;480;5942;1058;2550;1;16;27670;10676;5292;360;439;2766;142;1977;936;6296;13811;101805
"2015";55022;209780;6506;76235;12558;34721;21;147;349642;149541;64202;4970;5385;36549;1896;22162;10989;71713;152136;1264175
"..Janeiro/2015";4594;17577;526;6520;1181;3107;2;9;28824;11818;5307;401;444;3284;165;1973;871;6124;13968;106695
"..Fevereiro/2015";4138;15710;476;5240;926;2271;1;9;24754;9398;4726;329;411;2716;155;1776;804;4954;11818;90612
"..Março/2015";4582;17958;542;6206;1037;2612;3;18;27743;11206;5413;418;447;2875;167;1999;934;5508;12805;102473
"..Abril/2015";4747;17498;537;6306;1060;2847;2;9;28958;12636;5618;391;477;2820;176;1942;942;5825;12323;105114
"..Maio/2015";5025;18217;591;7048;1160;3177;3;7;32151;14718;5812;421;513;3222;172;1910;1040;6260;12595;114042
"..Junho/2015";4559;17302;618;6672;1087;3061;4;16;31219;14749;5358;397;535;3122;166;1789;926;6171;11489;109240
"..Julho/2015";4821;18068;588;6868;1094;3199;1;16;32303;14876;5630;450;430;3249;141;1875;933;6504;11929;112975
"..Agosto/2015";4639;17612;568;6590;1022;2889;2;15;30361;13035;5366;451;441;3001;143;1725;860;6009;12781;107510
"..Setembro/2015";4357;17017;492;6242;992;2924;1;15;28734;12213;5173;442;434;3086;150;1723;873;5851;12433;103152
"..Outubro/2015";4595;17590;528;6192;1024;3008;1;9;28735;11846;5241;434;444;3072;153;1746;912;6042;13184;104756
"..Novembro/2015";4396;17227;496;5981;982;2693;1;14;27327;11155;5179;378;408;2934;147;1769;921;5879;12986;100873
"..Dezembro/2015";4569;18004;544;6370;993;2933;-;10;28533;11891;5379;458;401;3168;161;1935;973;6586;13825;106733
"2016";57188;215217;6878;78075;12674;36870;20;173;362091;158041;66044;5874;5787;39367;1814;21049;10882;75869;155861;1309774
