 Mortalidade - Brasil
Óbitos p/Ocorrênc por Ano/mês do Óbito e Faixa Etária
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2011-2018
"Ano/mês do Óbito";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"2011";2107;1060;367;359;555;1564;2658;5130;10343;17730;30874;53703;243;126693
"..Janeiro/2011";117;77;21;35;54;133;242;471;916;1503;2815;4949;23;11356
"..Fevereiro/2011";121;66;21;29;47;115;232;395;740;1282;2442;4213;28;9731
"..Março/2011";181;101;28;34;44;135;226;417;822;1397;2396;4268;14;10063
"..Abril/2011";248;125;36;19;35;145;223;393;792;1374;2453;4105;15;9963
"..Maio/2011";260;105;37;28;68;126;227;432;914;1549;2635;4584;27;10992
"..Junho/2011";229;105;36;30;38;151;223;490;947;1668;2865;5167;19;11968
"..Julho/2011";196;85;53;34;50;122;244;471;977;1833;3115;5548;23;12751
"..Agosto/2011";177;81;29;30;50;126;231;419;898;1611;2759;4654;13;11078
"..Setembro/2011";152;64;29;25;41;145;191;422;881;1449;2531;4450;25;10405
"..Outubro/2011";141;81;33;32;46;132;185;446;843;1375;2414;4165;21;9914
"..Novembro/2011";151;101;20;31;41;124;211;370;794;1335;2192;3689;18;9077
"..Dezembro/2011";134;69;24;32;41;110;223;404;819;1354;2257;3911;17;9395
"2012";2012;1053;317;346;564;1610;2826;5161;10378;17853;30659;54203;222;127204
"..Janeiro/2012";146;70;24;31;40;119;199;412;769;1338;2256;3745;18;9167
"..Fevereiro/2012";136;56;18;19;49;128;204;375;747;1240;2084;3748;19;8823
"..Março/2012";155;99;23;41;46;150;224;416;762;1293;2218;3951;12;9390
"..Abril/2012";202;97;24;24;39;109;213;387;732;1322;2228;3946;23;9346
"..Maio/2012";222;95;31;37;45;134;247;461;869;1583;2675;4723;14;11136
"..Junho/2012";224;91;36;28;67;152;306;482;1009;1653;2936;5085;17;12086
"..Julho/2012";200;105;39;38;57;168;256;569;1191;1858;3227;5756;22;13486
"..Agosto/2012";188;91;19;28;44;136;249;385;972;1720;2802;5026;20;11680
"..Setembro/2012";145;96;24;30;34;135;200;449;851;1574;2665;4792;18;11013
"..Outubro/2012";126;109;32;26;50;139;264;424;885;1563;2676;4858;21;11173
"..Novembro/2012";126;77;20;23;44;122;220;387;756;1352;2422;4130;18;9697
"..Dezembro/2012";142;67;27;21;49;118;244;414;835;1357;2470;4443;20;10207
"2013";2172;996;341;337;626;1628;2964;5748;11233;19441;32746;59378;222;137832
"..Janeiro/2013";170;71;19;26;53;115;227;392;840;1397;2331;4203;12;9856
"..Fevereiro/2013";133;49;25;22;53;123;233;388;731;1303;2141;4074;18;9293
"..Março/2013";186;95;32;27;51;128;200;442;818;1438;2443;4602;24;10486
"..Abril/2013";229;118;37;32;57;149;292;539;936;1542;2710;4774;26;11441
"..Maio/2013";259;137;32;23;57;183;305;612;1119;1843;2957;5433;19;12979
"..Junho/2013";220;100;50;44;51;145;293;587;1112;1808;3029;5615;21;13075
"..Julho/2013";220;91;27;33;70;164;289;618;1231;1967;3346;5997;18;14071
"..Agosto/2013";170;67;32;38;52;139;247;514;1034;1895;3215;5947;22;13372
"..Setembro/2013";137;76;33;28;41;108;239;478;984;1733;2898;5158;18;11931
"..Outubro/2013";154;65;21;22;50;130;214;394;845;1561;2713;4906;14;11089
"..Novembro/2013";141;60;17;24;37;133;203;360;766;1420;2403;4323;13;9900
"..Dezembro/2013";153;67;16;18;54;111;222;424;817;1534;2560;4346;17;10339
"2014";1909;960;300;306;562;1586;2709;5080;11044;19240;33216;61938;195;139045
"..Janeiro/2014";140;51;22;36;37;131;237;381;872;1516;2614;4930;18;10985
"..Fevereiro/2014";102;60;17;15;42;124;189;399;785;1392;2443;4717;19;10304
"..Março/2014";141;70;27;25;57;128;255;391;874;1469;2398;4395;20;10250
"..Abril/2014";169;102;28;20;47;146;243;448;809;1437;2418;4574;19;10460
"..Maio/2014";245;112;26;29;47;152;228;480;964;1707;2873;5585;13;12461
"..Junho/2014";205;87;40;38;51;149;271;455;977;1817;3067;5772;13;12942
"..Julho/2014";207;87;29;29;49;118;220;435;985;1782;3171;5704;14;12830
"..Agosto/2014";167;92;24;21;48;130;231;456;1022;1805;3160;6069;14;13239
"..Setembro/2014";153;81;19;23;49;137;226;409;895;1695;2999;5414;20;12120
"..Outubro/2014";133;77;20;22;49;137;192;455;1043;1668;2995;5538;19;12348
"..Novembro/2014";125;81;19;22;45;106;188;369;915;1442;2546;4562;10;10430
"..Dezembro/2014";122;60;29;26;41;128;229;402;903;1510;2532;4678;16;10676
"2015";1678;857;265;264;551;1595;2710;5175;11222;20926;35417;68673;208;149541
